14-05-2019:11:19:08,184 INFO [aiaiai.py:44] hahhaa
14-05-2019:11:19:58,933 INFO [aiaiai.py:44] hahahaha
14-05-2019:11:28:05,475 INFO [aiaiai.py:44] hahahaha
14-05-2019:11:28:25,149 INFO [testcase1.py:35] app建立连接完成!!!
14-05-2019:11:28:27,367 INFO [testcase1.py:39] app关闭
14-05-2019:11:29:42,240 INFO [aiaiai.py:44] hahahaha
14-05-2019:11:29:55,460 INFO [testcase1.py:35] app建立连接完成!!!
14-05-2019:11:29:55,591 INFO [testcase1.py:44] 执行测试用例
14-05-2019:11:29:55,698 INFO [testcase1.py:49] 执行测试用例
14-05-2019:11:29:55,857 INFO [testcase1.py:54] 执行测试用例
14-05-2019:11:29:56,7 INFO [testcase1.py:59] 执行测试用例
14-05-2019:11:29:57,660 INFO [testcase1.py:39] app关闭
14-05-2019:11:32:43,143 INFO [aiaiai.py:44] hahahaha
14-05-2019:11:32:56,139 INFO [testcase1.py:35] app建立连接完成!!!
14-05-2019:11:32:56,337 INFO [testcase1.py:44] 执行测试用例
14-05-2019:11:32:56,447 INFO [testcase1.py:49] 执行测试用例
14-05-2019:11:32:56,609 INFO [testcase1.py:54] 执行测试用例
14-05-2019:11:32:56,754 INFO [testcase1.py:59] 执行测试用例
14-05-2019:11:32:58,308 INFO [testcase1.py:39] app关闭
14-05-2019:11:33:36,656 INFO [testcase1.py:35] app建立连接完成!!!
14-05-2019:11:33:36,741 INFO [testcase1.py:44] 执行测试用例
14-05-2019:11:33:36,901 INFO [testcase1.py:49] 执行测试用例
14-05-2019:11:33:37,28 INFO [testcase1.py:54] 执行测试用例
14-05-2019:11:33:37,209 INFO [testcase1.py:59] 执行测试用例
14-05-2019:11:33:38,783 INFO [testcase1.py:39] app关闭
