15-05-2019:17:18:34,726 INFO [testcase1.py:35] app建立连接完成!!!
15-05-2019:17:20:18,927 INFO [testcase1.py:35] app建立连接完成!!!
15-05-2019:17:20:19,301 INFO [testcase1.py:49] 执行测试用例
15-05-2019:17:20:19,426 INFO [testcase1.py:54] 执行测试用例
15-05-2019:17:20:19,564 INFO [testcase1.py:59] 执行测试用例
15-05-2019:17:20:21,285 INFO [testcase1.py:39] app关闭
15-05-2019:17:34:51,380 INFO [aotugongxiangche.py:33] app建立连接!!!
15-05-2019:17:34:53,451 INFO [aotugongxiangche.py:39] 关闭APP
15-05-2019:17:36:05,825 INFO [aotugongxiangche.py:33] app建立连接!!!
15-05-2019:17:36:20,419 INFO [aotugongxiangche.py:39] 关闭APP
15-05-2019:17:38:40,957 INFO [aotugongxiangche.py:33] app建立连接!!!
15-05-2019:17:39:19,83 INFO [aotugongxiangche.py:39] 关闭APP
15-05-2019:17:42:55,450 INFO [aotugongxiangche.py:33] app建立连接!!!
15-05-2019:17:43:38,220 INFO [aotugongxiangche.py:39] 关闭APP
15-05-2019:17:49:27,292 INFO [aotugongxiangche.py:33] app建立连接!!!
15-05-2019:17:50:15,437 INFO [aotugongxiangche.py:39] 关闭APP
15-05-2019:17:51:12,451 INFO [aotugongxiangche.py:33] app建立连接!!!
15-05-2019:17:51:20,777 INFO [aotugongxiangche.py:39] 关闭APP
15-05-2019:19:32:14,316 INFO [aotugongxiangche.py:33] app建立连接!!!
